name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Austin,2025-06-03,92.9,78.2,83,102.2,78.2,86.8,73.1,73.4,0,0,0,rain,0,0,25.2,14.8,165.4,1010.1,66.6,9.8,324.2,28,9,75,2025-06-03T06:29:21,2025-06-03T20:29:32,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-04,89,78.2,82.8,97.3,78.2,86.9,73.7,74.8,0.005,100,4.17,rain,0,0,21.5,10.1,154.8,1011.4,75.5,9.9,161.2,13.7,6,60,2025-06-04T06:29:11,2025-06-04T20:30:02,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-05,93.8,74.9,84.1,100.2,74.9,88,72.1,69.7,0,0,0,rain,0,0,24.2,10.4,149.9,1012.8,46.2,9.8,274.3,23.6,10,60,2025-06-05T06:29:03,2025-06-05T20:30:31,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-06,95,78.1,85.5,100.9,78.1,89.2,71.4,65.3,0,0,0,rain,0,0,25.3,13.8,173.7,1012.9,41.6,9.9,317.7,27.4,9,60,2025-06-06T06:28:56,2025-06-06T20:30:59,0.35,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-07,95,78.2,85.7,102,78.2,90.4,71.9,65.8,0,0,0,rain,0,0,26.2,11.5,175,1011.6,58.4,9.8,333.8,28.9,9,60,2025-06-07T06:28:51,2025-06-07T20:31:26,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-08,96.2,77,85.9,106.3,77,90.9,72.5,66.5,0,0,0,,0,0,25.3,12.6,174.2,1010.2,31.1,9.9,326.6,28.2,9,75,2025-06-08T06:28:47,2025-06-08T20:31:52,0.41,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-09,97,68,83,102.1,68,86,69.4,65.9,0.109,100,4.17,rain,0,0,48.3,10.6,108.4,1011.2,22.5,9.9,327.6,28.5,9,75,2025-06-09T06:28:44,2025-06-09T20:32:18,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-10,91.1,74.1,81,92.8,74.1,82.5,69.7,70.1,0,0,0,rain,0,0,24.2,15.5,73.6,1013.1,22,9.8,334.9,29.1,9,75,2025-06-10T06:28:43,2025-06-10T20:32:43,0.48,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-11,88.1,70.1,78.2,91.1,70.1,79.7,69.6,76.5,0.177,100,12.5,rain,0,0,27.5,9.1,118,1013.6,40.1,9.6,272.7,23.8,9,30,2025-06-11T06:28:43,2025-06-11T20:33:06,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-12,80,70.1,74.1,82.6,70.1,74.2,69.7,86.9,0.356,100,20.83,rain,0,0,23,11.4,157,1011.7,50.9,9.8,311.8,26.9,9,30,2025-06-12T06:28:45,2025-06-12T20:33:29,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-13,93,67.9,80.2,101.1,67.9,84,70.3,74.6,0,0,0,rain,0,0,35.6,13,173.6,1012,33.2,9.8,114.9,9.8,3,100,2025-06-13T06:28:48,2025-06-13T20:33:50,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-14,94.6,74.9,82.6,104.3,74.9,86.3,71.9,72.2,0,0,0,rain,0,0,40,13.8,167.7,1013.8,35.2,9.9,226.1,19.6,7,75,2025-06-14T06:28:52,2025-06-14T20:34:11,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
